name,set_name,card_number,rarity,product_line,card_type,hp,stage,type_hp_stage,card_text,attack1,attack2,attack3,attack4,weakness,resistance,retreat_cost,regulation_mark,standard_legal,image_file,quantity,category,source_url
Weezing (Team Plasma),Plasma Storm,58/135,Holo Rare,Pokemon,Psychic,100,Stage 1,Psychic / 100 / Stage 1,"Aftermath - When this Pokémon is Knocked Out by damage from an opponent's attack, discard the top 3 cards of your opponent's deck. (Ability)",[CP] Smogbank - This attack does 20 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),,,,Psychic ×2,,2,,no,90566_weezing-team-plasma.jpg,1,collection,https://store.tcgplayer.com/pokemon/plasma-storm/weezing-team-plasma
Charmander,Pokémon GO,008/078,Common,Pokemon,Fire,60,Basic,Fire / 60 / Basic,,"[R] Tail on Fire (10) - Search your deck for a Fire Energy card and attach it to this Pokémon. Then, shuffle your deck.",,,,Water ×2,,1,F,no,274436_charmander.jpg,1,collection,https://store.tcgplayer.com/pokemon/pokemon-go/charmander
Gengar,S6K: Jet-Black Spirit,027/070,Rare,Pokemon Japan,Psychic,130,Stage 2,Psychic / 130 / Stage 2,"Last Gift - If this Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon, search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck.",[CCC] Pain Burst (10+) - This attack does 40 more damage for each damage counter on your opponent's Active Pokémon.,,,,Darkness ×2,Fighting -30,1,,japanese,569255_gengar.jpg,1,collection,https://store.tcgplayer.com/pokemon-japan/s6k-jet-black-spirit/gengar
Charmeleon,SM - Burning Shadows,19/147,Uncommon,Pokemon,Fire,90,Stage 1,Fire / 90 / Stage 1,,[CC] Claw Slash [CCC],[CRR] Heat Blast (70),,,Water ×2,,2,,no,138485_charmeleon.jpg,1,collection,https://store.tcgplayer.com/pokemon/sm-burning-shadows/charmeleon
Haunter,SM - Crimson Invasion,37/111,Uncommon,Pokemon,Psychic,70,Stage 1,Psychic / 70 / Stage 1,,[P] Pain Amplifier - Put 2 damage counters on each of your opponent's Pokémon that has any damage counters on it.,,,,Darkness ×2,Fighting -20,1,,no,149060_haunter.jpg,1,collection,https://store.tcgplayer.com/pokemon/sm-crimson-invasion/haunter
Pumpkaboo,SM - Crimson Invasion,44/111,Common,Pokemon,Psychic,60,Basic,Psychic / 60 / Basic,,[P] Astonish - Choose a random card from your opponent's hand. Your opponent reveals that card and shuffles it into their deck.,,,,Darkness ×2,Fighting -20,2,,no,149067_pumpkaboo.jpg,1,collection,https://store.tcgplayer.com/pokemon/sm-crimson-invasion/pumpkaboo
Mysterious Treasure,SM - Forbidden Light,113/131,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,"Discard a card from your hand. If you do, search your deck for a Psychic or Dragon Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.",,,,,,,,,no,165789_mysterious-treasure.jpg,0,collection,https://store.tcgplayer.com/pokemon/sm-forbidden-light/mysterious-treasure
Lavender Town,SM - Team Up,147/181,Uncommon,Pokemon,Trainer - Stadium,,,Trainer - Stadium,"Once during each player's turn, that player may have their opponent reveal their hand.",,,,,,,,,no,183945_lavender-town.jpg,4,collection,https://store.tcgplayer.com/pokemon/sm-team-up/lavender-town
Drowzee,SM - Unbroken Bonds,71/214,Common,Pokemon,Psychic,70,Basic,Psychic / 70 / Basic,,[P] Hypnosis - Your opponent's Active Pokémon is now Asleep.,[CCP] Psypunch (30),,,Psychic ×2,,2,,no,189171_drowzee.jpg,0,collection,https://store.tcgplayer.com/pokemon/sm-unbroken-bonds/drowzee
Hypno,SM - Unbroken Bonds,72/214,Rare,Pokemon,Psychic,110,Stage 1,Psychic / 110 / Stage 1,"Hypnotic Pendulum - When your opponent's Active Pokémon is Knocked Out, flip a coin. If heads, choose which of your opponent's Benched Pokémon becomes their new Active Pokémon.",[CCP] Stir the Brain (30+) - This attack does 10 more damage for each card in your opponent's hand.,,,,Psychic ×2,,2,,no,189172_hypno.jpg,0,collection,https://store.tcgplayer.com/pokemon/sm-unbroken-bonds/hypno
Energy Switch,SV01: Scarlet & Violet Base Set,173/198,Common,Pokemon,Trainer - Item,,,Trainer - Item,Move a basic Energy from 1 of your Pokémon to another of your Pokémon. You may play any number of Item cards during your turn.,,,,,,,,,no,488078_energy-switch.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv01-scarlet-and-violet-base-set/energy-switch
Switch,SV01: Scarlet & Violet Base Set,194/198,Common,Pokemon,Trainer - Item,,,Trainer - Item,Switch your Active Pokémon with 1 of your Benched Pokémon. You may play as many Item cards as you like during your turn.,,,,,,,,,no,488102_switch.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv01-scarlet-and-violet-base-set/switch
Ultra Ball,SV01: Scarlet & Violet Base Set,196/198,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,"Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck. You may play as many Item cards as you like during your turn.",,,,,,,,,no,488105_ultra-ball.jpg,4,collection,https://store.tcgplayer.com/pokemon/sv01-scarlet-and-violet-base-set/ultra-ball
Arven,SV03: Obsidian Flames,186/197,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Search your deck for an Item card and a Pokémon Tool card, reveal them, and put them in your hand. Then, shuffle your deck. You may play only 1 Supporter card during your turn.",,,,,,,,G,no,509778_arven.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv03-obsidian-flames/arven
Charmander,SV03: Obsidian Flames,026/197,Common,Pokemon,Fire,60,Basic,Fire / 60 / Basic,,[R] Heat Tackle: (30) - This Pokémon does 10 damage to itself.,,,,Water ×2,,1,G,no,509703_charmander.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv03-obsidian-flames/charmander
Gourgeist,SV04: Paradox Rift,078/182,Uncommon,Pokemon,Psychic,110,Stage 1,Psychic / 110 / Stage 1,"Startling Pumpkin - If this Pokémon is Knocked Out by damage from an attack from your opponent’s Pokémon, discard 2 random cards from your opponent’s hand.","[CCP] Shadow Bind (100) - During your opponent’s next turn, the Defending Pokémon can’t retreat.",,,,Darkness ×2,Fighting -30,2,G,no,523744_gourgeist.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv04-paradox-rift/gourgeist
Pumpkaboo,SV04: Paradox Rift,077/182,Common,Pokemon,Psychic,60,Basic,Psychic / 60 / Basic,,[P] Seed Bomb (10),[CC] Reckless Charge (40) - This Pokémon also does 20 damage to itself.,,,Darkness ×2,Fighting -30,2,G,no,523743_pumpkaboo.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv04-paradox-rift/pumpkaboo
Ponyta,SV05: Temporal Forces,026/162,Common,Pokemon,Fire,70,Basic,Fire / 70 / Basic,,"[C] Charge Energy - Search your deck for a Basic Energy card, reveal it, and put it into your hand. Then, shuffle your deck.",[RC] Flame Tail (20),,,Water ×2,,1,H,yes,542770_ponyta.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv05-temporal-forces/ponyta
Prime Catcher,SV05: Temporal Forces,157/162,ACE SPEC Rare,Pokemon,Trainer - Item,,,Trainer - Item,"Switch in 1 of your opponent’s Benched Pokémon to the Active Spot. If you do, switch your Active Pokémon with 1 of your Benched Pokémon.",,,,,,,,H,yes,542674_prime-catcher.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv05-temporal-forces/prime-catcher
Chandelure,SV06: Twilight Masquerade,038/167,Rare,Pokemon,Fire,130,Stage 2,Fire / 130 / Stage 2,"Alluring Light - Once during your turn, you may have each player draw a card.",[R] Mind Ruler (30x) - This attack does 30 damage for each card in your opponent's hand.,,,,Water ×2,,2,H,yes,550082_chandelure.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv06-twilight-masquerade/chandelure
Eevee,SV06: Twilight Masquerade,135/167,Common,Pokemon,Colorless,50,Basic,Colorless / 50 / Basic,,"[C] Ascension - Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.","[CCC] Quick Attack (20+) - Flip a coin. If heads, this attack does 20 more damage.",,,Fighting ×2,,1,H,yes,550179_eevee-135-167.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv06-twilight-masquerade/eevee-135-167
Floette,SV06: Twilight Masquerade,087/167,Common,Pokemon,Psychic,70,Stage 1,Psychic / 70 / Stage 1,,"[C] Minor Errand-Running - Search your deck for up to 3 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",[PC] Spinning Attack (40),,,Metal ×2,,1,H,yes,550131_floette.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv06-twilight-masquerade/floette
Froslass,SV06: Twilight Masquerade,053/167,Rare,Pokemon,Water,90,Stage 1,Water / 90 / Stage 1,"Freezing Shroud - During Pokémon Checkup, put 1 damage counter on each Pokémon that has an Ability (both yours and your opponent's), except any Froslass.",[WC] Frost Smash (60),,,,Metal ×2,,1,H,yes,550097_froslass-053-167.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv06-twilight-masquerade/froslass-053-167
Glalie,SV06: Twilight Masquerade,052/167,Uncommon,Pokemon,Water,120,Stage 1,Water / 120 / Stage 1,,[W] Damage Beat (20x) - This attack does 20 damage for each damage counter on your opponent's Active Pokémon.,[WCC] Crazy Headbutt (140) - Discard an Energy from this Pokémon.,,,Metal ×2,,2,H,yes,550096_glalie.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv06-twilight-masquerade/glalie
Lana's Aid,SV06: Twilight Masquerade,155/167,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Put up to 3 in any combination of Pokémon that don't have a Rule Box and Basic Energy cards from your discard pile into your hand. (Pokémon ex, Pokémon V, etc. have Rule Boxes.)",,,,,,,,H,yes,550199_lanas-aid-155-167.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv06-twilight-masquerade/lanas-aid-155-167
Legacy Energy,SV06: Twilight Masquerade,167/167,ACE SPEC Rare,Pokemon,Energy - Special Rainbow,,,Energy - Special Rainbow,"As long as this card is attached to a Pokémon, it provides every type of Energy but provides only 1 Energy at a time. If the Pokémon this card is attached to is Knocked Out by damage from an attack from your opponent's Pokémon, that player takes 1 fewer Prize card. This effect of your Legacy Energy can't be applied more than once per game.",,,,,,,,H,yes,550211_legacy-energy.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv06-twilight-masquerade/legacy-energy
Morpeko,SV06: Twilight Masquerade,072/167,Uncommon,Pokemon,Lightning,70,Basic,Lightning / 70 / Basic,"Snack Seek - Once during your turn, you may look at the top card of your deck. You may discard that card.",[L] Pick and Stick - Attach up to 2 Basic Energy cards from your discard pile to your Pokémon in any way you like.,,,,Fighting ×2,,1,H,yes,550116_morpeko.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv06-twilight-masquerade/morpeko
Munkidori,SV06: Twilight Masquerade,095/167,Rare,Pokemon,Psychic,110,Basic,Psychic / 110 / Basic,"Adrena-Brain - Once during your turn, if this Pokémon has any D Energy attached, you may move up to 3 damage counters from 1 of your Pokémon to 1 of your opponent's Pokémon.",[PC] Mind Bend (60) - Your opponent's Active Pokémon is now Confused.,,,,Darkness ×2,Fighting -30,1,H,yes,550139_munkidori.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv06-twilight-masquerade/munkidori
Snorunt,SV06: Twilight Masquerade,051/167,Common,Pokemon,Water,60,Basic,Water / 60 / Basic,,[WC] Astonish (20) - Choose a random card from your opponent's hand. Your opponent reveals that card and shuffles it into their deck.,,,,Metal ×2,,1,H,yes,550095_snorunt.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv06-twilight-masquerade/snorunt
Crispin,SV07: Stellar Crown,133/142,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Search your deck for up to 2 Basic Energy cards of different types, reveal them, and put 1 of them into your hand. Attach the other to 1 of your Pokémon. Then, shuffle your deck.",,,,,,,,H,yes,567390_crispin-133-142.jpg,4,collection,https://store.tcgplayer.com/pokemon/sv07-stellar-crown/crispin-133-142
Hoothoot,SV07: Stellar Crown,114/142,Common,Pokemon,Colorless,70,Basic,Colorless / 70 / Basic,,[C] Triple Stab (10x) - Flip 3 coins. This attack does 10 damage for each heads.,,,,Lightning ×2,Fighting -30,1,H,yes,567340_hoothoot.jpg,4,collection,https://store.tcgplayer.com/pokemon/sv07-stellar-crown/hoothoot
Jirachi,SV07: Stellar Crown,098/142,Uncommon,Pokemon,Metal,80,Basic,Metal / 80 / Basic,,[C] Swelling Wish - Attach a Basic Energy card from your discard pile to 1 of your Benched Pokémon.,[MC] Slap (30),,,Fire ×2,Grass -30,1,H,yes,567324_jirachi.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv07-stellar-crown/jirachi
Noctowl,SV07: Stellar Crown,115/142,Rare,Pokemon,Colorless,100,Stage 1,Colorless / 100 / Stage 1,"Jewel Seeker - Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, if you have any Tera Pokémon in play, you may search your deck for up to 2 Trainer cards, reveal them, and put them into your hand. Then, shuffle your deck.",[CC] Speed Wing (60),,,,Lightning ×2,Fighting -30,1,H,yes,567341_noctowl.jpg,3,collection,https://store.tcgplayer.com/pokemon/sv07-stellar-crown/noctowl
Sparkling Crystal,SV07: Stellar Crown,142/142,ACE SPEC Rare,Pokemon,Trainer - Pokémon Tool,,,Trainer - Pokémon Tool,"When the Tera Pokémon this card is attached to uses an attack, that attack costs 1 Energy less. (The Energy can be of any type.)",,,,,,,,H,yes,567416_sparkling-crystal.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv07-stellar-crown/sparkling-crystal
Altaria,SV08: Surging Sparks,134/191,Uncommon,Pokemon,Dragon,120,Stage 1,Dragon / 120 / Stage 1,,"[W] Humming Charge - Search your deck for up to 2 Basic Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck.","[WM] Cotton Wings (100) - Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokémon by attacks.",,,,,1,H,yes,589861_altaria.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv08-surging-sparks/altaria
Energy Search Pro,SV08: Surging Sparks,176/191,ACE SPEC Rare,Pokemon,Trainer - Item,,,Trainer - Item,"Search your deck for any number of Basic Energy cards of different types, reveal them, and put them into your hand. Then, shuffle your deck.",,,,,,,,H,yes,589933_energy-search-pro.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv08-surging-sparks/energy-search-pro
Gimmighoul,SV08: Surging Sparks,097/191,Common,Pokemon,Psychic,70,Basic,Psychic / 70 / Basic,,"[C] Minor Errand-Running - Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",[CCC] Tackle (50),,,Darkness ×2,Fighting -30,2,H,yes,589955_gimmighoul.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv08-surging-sparks/gimmighoul
Heliolisk,SV08: Surging Sparks,155/191,Common,Pokemon,Colorless,110,Stage 1,Colorless / 110 / Stage 1,,"[C] Parabolic Charge - Search your deck for up to 4 Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",[CCC] Electroslug (80),,,Fighting ×2,,1,H,yes,589962_heliolisk.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv08-surging-sparks/heliolisk
Landorus,SV08: Surging Sparks,110/191,Rare,Pokemon,Fighting,130,Basic,Fighting / 130 / Basic,,[F] Fist of Focus (30) - Attach an Energy card from your discard pile to this Pokémon.,[FCCC] Buster Swing (130) - This attack's damage isn't affected by Resistance.,,,Grass ×2,,2,H,yes,589980_landorus.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv08-surging-sparks/landorus
Oricorio,SV08: Surging Sparks,026/191,Common,Pokemon,Fire,90,Basic,Fire / 90 / Basic,,[R] Energy Assist - Attach up to 2 Basic Energy cards from your discard pile to 1 of your Benched Pokémon.,[R] Fireworks (30) - Discard an Energy from this Pokémon.,,,Water ×2,,1,H,yes,590012_oricorio-026-191.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv08-surging-sparks/oricorio-026-191
Scramble Switch,SV08: Surging Sparks,186/191,ACE SPEC Rare,Pokemon,Trainer - Item,,,Trainer - Item,"Switch your Active Pokémon with 1 of your Benched Pokémon. If you do, you may move any amount of Energy from the Pokémon you moved to the Bench to the new Active Pokémon.",,,,,,,,H,yes,590042_scramble-switch.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv08-surging-sparks/scramble-switch
Smoochum,SV08: Surging Sparks,075/191,Common,Pokemon,Psychic,30,Basic,Psychic / 30 / Basic,,"Delightful Kiss - Search your deck for up to 2 Basic Psychic Energy cards and attach them to 1 of your Benched Pokémon. Then, shuffle your deck.",,,,Darkness ×2,Fighting -30,,H,yes,590059_smoochum.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv08-surging-sparks/smoochum
Blaziken ex,SV09: Journey Together,024/159,Double Rare,Pokemon,Fire,320,Stage 2,Fire / 320 / Stage 2,"Seething Spirit - Once during your turn, you may attach a Basic Energy card from your discard pile to 1 of your Pokémon.","[CR] Smolder-sault (200) - During your next turn, this Pokémon can’t attack.",,,,Water ×2,,2,H,yes,623451_blaziken-ex.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv09-journey-together/blaziken-ex
Energy Recycler,SV10: Destined Rivals,164/182,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,Shuffle up to 5 Basic Energy cards from your discard pile into your deck.,,,,,,,,I,yes,632966_energy-recycler.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/energy-recycler
Team Rocket's Archer,SV10: Destined Rivals,170/182,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"You can use this card only if any of your Team Rocket's Pokémon were Knocked Out during your opponent's last turn. Each player shuffles their hand into their deck. Then, you draw 5 cards, and your opponent draws 3 cards.",,,,,,,,I,yes,632971_team-rockets-archer-170-182.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-archer-170-182
Team Rocket's Ariana,SV10: Destined Rivals,171/182,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Draw cards until you have 5 cards in your hand. If all of your Pokémon in play are Team Rocket's Pokémon, draw cards until you have 8 cards in your hand instead.",,,,,,,,I,yes,632972_team-rockets-ariana-171-182.jpg,4,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-ariana-171-182
Team Rocket's Articuno,SV10: Destined Rivals,051/182,Rare,Pokemon,Water,120,Basic,Water / 120 / Basic,Repelling Veil - Prevent all effects of attacks used by your opponent's Pokémon done to your Basic Team Rocket's Pokémon in play. (Existing effects are not removed. Damage is not an effect.),"[WCC] Dark Frost (60+) - If this Pokémon has any Team Rocket's Energy attached, this attack does 60 more damage.",,,,Lightning ×2,Fighting -30,1,I,yes,632864_team-rockets-articuno.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-articuno
Team Rocket's Crobat ex,SV10: Destined Rivals,122/182,Double Rare,Pokemon,Darkness,310,Stage 2,Darkness / 310 / Stage 2,"Biting Spree - When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may choose 2 of your opponent's Pokémon and put 2 damage counters on each of them.",[DD] Assassin's Return (120) - You may put this Pokémon into your hand. (Discard all cards attached to this Pokémon.),,,,Lightning ×2,Fighting -30,1,I,yes,632930_team-rockets-crobat-ex-122-182.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-crobat-ex-122-182
Team Rocket's Energy,SV10: Destined Rivals,182/182,Uncommon,Pokemon,Energy - Special,,,Energy - Special,"This card can only be attached to a Team Rocket's Pokémon. If this card is attached to anything other than a Team Rocket's Pokémon, discard this card. As long as this card is attached to a Pokémon, it provides 2 in any combination of [P] Energy and [D] Energy.",,,,,,,,I,yes,632982_team-rockets-energy.jpg,4,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-energy
Team Rocket's Factory,SV10: Destined Rivals,173/182,Uncommon,Pokemon,Trainer - Stadium,,,Trainer - Stadium,"Once during each player's turn, if they played a Supporter card that has ""Team Rocket"" in its name from their hand this turn, they may draw 2 cards.",,,,,,,,I,yes,632974_team-rockets-factory.jpg,3,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-factory
Team Rocket's Giovanni,SV10: Destined Rivals,174/182,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Switch your Active Team Rocket's Pokémon with 1 of your Benched Team Rocket's Pokémon. If you do, switch in 1 of your opponent's Benched Pokémon to the Active Spot.",,,,,,,,I,yes,630830_team-rockets-giovanni.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-giovanni
Team Rocket's Golbat,SV10: Destined Rivals,121/182,Uncommon,Pokemon,Darkness,80,Stage 1,Darkness / 80 / Stage 1,"Sneaky Bite - When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may put 2 damage counters on 1 of your opponent's Pokémon.",[D] Confuse Ray (30) - Your opponent's Active Pokémon is now Confused.,,,,Lightning ×2,Fighting -30,1,I,yes,632929_team-rockets-golbat.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-golbat
Team Rocket's Koffing,SV10: Destined Rivals,125/182,Common,Pokemon,Darkness,70,Basic,Darkness / 70 / Basic,"Smog Signals - If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), search your deck for up to 2 Pokémon that have ""Koffing"" in their name and put them onto your Bench. Then, shuffle your deck.",[DC] Leaking Gas (30),,,,Fighting ×2,,1,I,yes,632933_team-rockets-koffing.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-koffing
Team Rocket's Mewtwo ex,SV10: Destined Rivals,081/182,Double Rare,Pokemon,Psychic,280,Basic,Psychic / 280 / Basic,Power Saver - This Pokémon can't attack unless you have 4 or more Team Rocket's Pokémon in play.,[PPC] Erasure Ball (160+) - You may discard up to 2 Energy from your Benched Pokémon. This attack does 60 more damage for each card you discarded in this way.,,,,Darkness ×2,Fighting -30,3,I,yes,632891_team-rockets-mewtwo-ex-081-182.jpg,3,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-mewtwo-ex-081-182
Team Rocket's Mimikyu,SV10: Destined Rivals,087/182,Uncommon,Pokemon,Psychic,60,Basic,Psychic / 60 / Basic,,[PC] Gemstone Mimicry - Choose 1 of your opponent's Active Tera Pokémon's attacks and use it as this attack.,,,,Darkness ×2,Fighting -30,0,I,yes,630821_team-rockets-mimikyu.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-mimikyu
Team Rocket's Petrel,SV10: Destined Rivals,176/182,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Search your deck for a Trainer card, reveal it, and put it into your hand. Then, shuffle your deck.",,,,,,,,I,yes,632976_team-rockets-petrel-176-182.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-petrel-176-182
Team Rocket's Proton,SV10: Destined Rivals,177/182,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"If you go first, you may use this card during your first turn. Search your deck for up to 3 Basic Team Rocket's Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.",,,,,,,,I,yes,632977_team-rockets-proton-177-182.jpg,4,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-proton-177-182
Team Rocket's Spidops,SV10: Destined Rivals,020/182,Rare,Pokemon,Grass,130,Stage 1,Grass / 130 / Stage 1,"Charging Up - Once during your turn, you may attach a Basic Energy card from your discard pile to this Pokémon.",[GC] Rocket Rush (30x) - This attack does 30 damage for each of your Team Rocket's Pokémon in play.,,,,Fire ×2,,2,I,yes,632846_team-rockets-spidops-020-182.jpg,3,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-spidops-020-182
Team Rocket's Tarountula,SV10: Destined Rivals,019/182,Common,Pokemon,Grass,50,Basic,Grass / 50 / Basic,,[G] Take Down (30) - This Pokémon also does 10 damage to itself.,,,,Fire ×2,,1,I,yes,632845_team-rockets-tarountula.jpg,3,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-tarountula
Team Rocket's Transceiver,SV10: Destined Rivals,178/182,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,"Search your deck for a Supporter card that has ""Team Rocket"" in its name, reveal it, and put it into your hand. Then, shuffle your deck.",,,,,,,,I,yes,632978_team-rockets-transceiver.jpg,4,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-transceiver
Team Rocket's Weezing,SV10: Destined Rivals,126/182,Uncommon,Pokemon,Darkness,130,Stage 1,Darkness / 130 / Stage 1,,"[DC] Explode Together Now (40x) - This attack does 40 damage for each Pokémon in play that has ""Koffing"" or ""Weezing"" in its name (both yours and your opponent's).",,,,Fighting ×2,,2,I,yes,632934_team-rockets-weezing-126-182.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-weezing-126-182
Team Rocket's Zubat,SV10: Destined Rivals,120/182,Common,Pokemon,Darkness,50,Basic,Darkness / 50 / Basic,,[D] Poison Spray - Your opponent's Active Pokémon is now Poisoned.,,,,Lightning ×2,Fighting -30,1,I,yes,632928_team-rockets-zubat.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv10-destined-rivals/team-rockets-zubat
Gengar,SV2a: Pokémon Card 151,094/165,Rare,Pokemon Japan,Psychic,130,Stage 2,Psychic / 130 / Stage 2,,[P] Poltergeist (50x) - Your opponent reveals their hand. This attack does 50 damage for each Trainer card you find there.,[PC] Hollow Dive (110) - Put 3 damage counters on your opponent's Benched Pokémon in any way you like.,,,Darkness ×2,Fighting -30,0,,japanese,566439_gengar.jpg,1,collection,https://store.tcgplayer.com/pokemon-japan/sv2a-pokemon-card-151/gengar
Gengar,SV3a: Raging Surf,035/062,Uncommon,Pokemon Japan,Darkness,130,Stage 2,Darkness / 130 / Stage 2,"Night Gate - Once during your turn, you may switch your Active Pokémon with 1 of your Benched Pokémon.",[DC] Nightmare (100) - Your opponent's Active Pokémon is now Asleep.,,,,Fighting ×2,,1,,japanese,566893_gengar.jpg,1,collection,https://store.tcgplayer.com/pokemon-japan/sv3a-raging-surf/gengar
Axew,SV: Black Bolt,068/086,Common,Pokemon,Dragon,70,Basic,Dragon / 70 / Basic,,"[C] Gather Strength - Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",,,,,,2,I,yes,642519_axew.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv-black-bolt/axew
Energy Coin,SV: Black Bolt,081/086,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,"Flip 2 coins. If both of them are heads, search your deck for a Basic Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck.",,,,,,,,I,yes,642528_energy-coin.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv-black-bolt/energy-coin
Pokegear 3.0,SV: Black Bolt,084/086,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,Look at the top 7 cards of your deck. You may reveal a Supporter card you find there and put it into your hand. Shuffle the other cards back into your deck.,,,,,,,,I,yes,642530_pokegear-30.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv-black-bolt/pokegear-30
Charmander,SV: Paldean Fates,007/091,Common,Pokemon,Fire,70,Basic,Fire / 70 / Basic,,[R] Blazing Destruction - Discard a Stadium in play.,[RR] Steady Firebreathing (30),,,Water ×2,,1,G,no,534142_charmander-007-091.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv-paldean-fates/charmander-007-091
